column,dtype,n_missing,missing_rate,n_unique
移植胚胎D6,object,1423,0.891,10
std_embryo_d6,object,1423,0.891,10
clean_std_embryo_d6,object,1423,0.891,10
cleavage_cell_count,float64,1384,0.8666,6
cleavage_quality_grade,float64,1384,0.8666,3
cleavage_score_main,object,1384,0.8666,9
icm_grade,object,226,0.1415,4
is_good_quality_blastocyst,float64,226,0.1415,3
te_grade,object,226,0.1415,4
blast_expansion_grade,float64,226,0.1415,5
blast_score_main,object,226,0.1415,18
std_embryo_d5,object,83,0.052,26
clean_std_embryo_d5,object,83,0.052,26
移植胚胎D5,object,83,0.052,26
移植胚胎评分,object,24,0.015,91
std_embryo_score,object,24,0.015,91
score_clean_text,object,24,0.015,91
score_raw,object,24,0.015,91
clean_std_embryo_score,object,24,0.015,91
clean_std_followup_diagnosis,object,17,0.0106,113
std_followup_diagnosis,object,17,0.0106,113
随访诊断,object,17,0.0106,113
clean_基础E2,float64,15,0.0094,375
clean_基础FSH,float64,14,0.0088,497
clean_基础LH,float64,14,0.0088,604
clean_AMH,float64,12,0.0075,658
clean_std_amh,float64,12,0.0075,658
clean_std_endometrial_thickness,object,8,0.005,112
clean_转内膜日内膜厚度,object,8,0.005,112
移植胚胎解冻前发育天数,object,7,0.0044,8
std_embryo_d1,object,7,0.0044,5
std_embryo_no,object,7,0.0044,234
std_embryo_d3,object,7,0.0044,111
raw_embryo_no,object,7,0.0044,234
clean_移植胚胎解冻前发育天数,object,7,0.0044,8
std_embryo_d0,object,7,0.0044,17
clean_std_embryo_d0,object,7,0.0044,17
clean_BMI,float64,7,0.0044,458
clean_std_embryo_d1,object,7,0.0044,5
clean_std_bmi,float64,7,0.0044,458
clean_std_embryo_no,object,7,0.0044,226
clean_std_embryo_d3,object,7,0.0044,111
移植胚胎D0,object,7,0.0044,17
移植胚胎D1,object,7,0.0044,5
移植胚胎序号,object,7,0.0044,234
移植胚胎D3,object,7,0.0044,111
clean_fet用药方案,object,6,0.0038,11
胎心,float64,5,0.0031,5
std_patient_id,float64,5,0.0031,1158
活产,float64,5,0.0031,3
fet用药方案,object,5,0.0031,13
转内膜日内膜厚度,object,5,0.0031,122
基础E2,object,5,0.0031,380
AMH,object,5,0.0031,687
基础LH,object,5,0.0031,650
Gn总量,float64,5,0.0031,150
移植总数2个0,float64,5,0.0031,3
Patient ID,float64,5,0.0031,1158
用药方案,object,5,0.0031,16
类别,object,5,0.0031,20
男年龄,float64,5,0.0031,35
不孕年限,float64,5,0.0031,29
BMI,object,5,0.0031,459
女年龄,float64,5,0.0031,25
clean_std_infertility_years,float64,5,0.0031,29
clean_std_male_age,float64,5,0.0031,35
clean_std_biochemical_pregnancy,float64,5,0.0031,3
clean_std_fetal_heartbeat,float64,5,0.0031,5
clean_fetal_heartbeat_label,float64,5,0.0031,5
clean_clinical_pregnancy_label,float64,5,0.0031,3
clean_biochemical_pregnancy_label,float64,5,0.0031,3
clean_miscarriage_after_clinical_label,float64,5,0.0031,3
clean_live_birth_label,float64,5,0.0031,3
raw_patient_id,float64,5,0.0031,1158
std_fertilization_method,object,5,0.0031,20
std_treatment_protocol,object,5,0.0031,16
std_amh,object,5,0.0031,687
std_endometrial_thickness,object,5,0.0031,122
std_infertility_years,float64,5,0.0031,29
std_bmi,object,5,0.0031,459
std_miscarriage_after_clinical,float64,5,0.0031,3
std_male_age,float64,5,0.0031,35
std_female_age,float64,5,0.0031,25
std_live_birth,float64,5,0.0031,3
std_biochemical_pregnancy,float64,5,0.0031,3
std_fetal_heartbeat,float64,5,0.0031,5
std_clinical_pregnancy,float64,5,0.0031,3
基础FSH,object,5,0.0031,543
结局_1,object,5,0.0031,9
临床妊娠后流产,float64,5,0.0031,3
生化,float64,5,0.0031,3
临床,float64,5,0.0031,3
胎囊,float64,5,0.0031,5
clean_男年龄,float64,5,0.0031,35
clean_Gn总量,float64,5,0.0031,150
clean_用药方案,object,5,0.0031,16
clean_std_fertilization_method,object,5,0.0031,20
clean_std_treatment_protocol,object,5,0.0031,16
clean_std_clinical_pregnancy,float64,5,0.0031,3
clean_女年龄,float64,5,0.0031,25
clean_std_live_birth,float64,5,0.0031,3
clean_std_patient_id,float64,5,0.0031,1158
clean_std_miscarriage_after_clinical,float64,5,0.0031,3
clean_std_female_age,float64,5,0.0031,25
clean_类别,object,5,0.0031,20
clean_不孕年限,float64,5,0.0031,29
clean_移植总数2个0,float64,5,0.0031,3
clean_patient_id,object,0,0.0,1158
patient_embryo_key,object,0,0.0,1590
clean_embryo_no,object,0,0.0,234
is_double_embryo_transfer,int64,0,0.0,2
label_status,object,0,0.0,4
AMH_greater_than_flag,int64,0,0.0,2
基础E2_less_than_flag,int64,0,0.0,2
基础LH_less_than_flag,int64,0,0.0,2
score_parse_status,object,0,0.0,6
has_multiple_scores,int64,0,0.0,2
blast_quality_group,object,0,0.0,4
has_survival_text,int64,0,0.0,2
has_reexpansion_text,int64,0,0.0,2
has_cleavage_score,int64,0,0.0,2
has_blastocyst_score,int64,0,0.0,2
转内膜日内膜厚度_multi_value_flag,int64,0,0.0,2
转内膜日内膜厚度_range_flag,int64,0,0.0,2
std_endometrial_thickness_range_flag,int64,0,0.0,2
std_amh_greater_than_flag,int64,0,0.0,2
std_endometrial_thickness_multi_value_flag,int64,0,0.0,2
clean_is_double_embryo_transfer,float64,0,0.0,2
